station code,year,wqi,ph,do,bod,nitrate,locations,locations_full,water_quality
1023,2006,63.0,7.367,6.033,3.267,0.667,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",Average
1023,2007,51.0,7.5,7.4,2.1,1.23,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",Good
1023,2008,77.0,7.2,5.9,5.4,2.05,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",Average
1023,2009,82.0,7.3,6.0,6.0,2.1,NAN,NAN,Average
1023,2010,115.0,6.7,5.6,10.8,2.0,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",Bad
1023,2011,101.0,7.2,5.8,8.5,3.83,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",Average
1023,2012,107.0,7.4,5.5,8.8,5.08,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),Bad
1023,2013,111.0,7.2,5.5,9.7,4.0,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",Bad
1023,2014,82.0,7.2,5.8,6.0,4.3,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",Average
1024,2006,139.0,7.85,5.1,12.0,1.65,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",Bad
1024,2007,105.0,7.8,6.1,8.1,2.9,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA), PUNJAB",Average
1024,2008,154.0,7.4,5.3,27.0,3.35,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",Bad
1024,2009,148.0,7.4,4.9,14.0,4.4,NAN,NAN,Bad
1024,2010,150.0,6.8,4.9,26.5,4.8,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",Bad
1024,2011,153.0,7.4,5.6,15.3,15.0,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",Bad
1024,2012,153.0,7.4,5.5,25.0,6.8,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),Bad
1024,2013,155.0,7.3,4.7,23.8,4.0,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",Bad
1024,2014,159.0,7.6,4.8,22.0,3.6,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",Bad
1025,2006,157.0,7.55,5.35,17.0,20.45,GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",Bad
1025,2007,167.0,8.1,4.9,26.3,18.1,GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD, HARYANA",Bad
1025,2008,144.0,6.9,6.7,17.1,19.4,GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",Bad
1025,2009,97.0,7.1,6.4,8.5,8.1,NAN,NAN,Average
1025,2010,153.0,7.6,6.5,18.0,12.0,GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",Bad
1025,2011,142.0,6.8,6.1,14.7,0.516,GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",Bad
1025,2012,157.0,7.9,6.4,21.0,5.9,GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD",Bad
